run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,risk_weights,risk_lookahead_steps,safe_speed_ratio,critical_sep_factor,trend_release_delta,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p05,risk_p25,risk_p50,risk_p75,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,suppressed_request_count,suppressed_critical_count,cooldown_release_count,critical_override_count,critical_trigger_rate,trigger_active_rate,confidence_mean,false_intervention_rate,repeated_intervention_rate,post_intervention_violation_rate,mean_drift_after_intervention,min_predicted_distance_mean
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed59,bottleneck,adaptive_hitl,59,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.22,0.0,0.02666666666666667,0.6933333333333334,0.6826923076923077,1.0,0.6933333333333334,10.730502145378136,31.963816178799707,0.5863813303100566,0.7696244296537003,0.24599999999986816,0.454891294026231,1.0,1.0,1.0,0.1031675999489728,0.049580006443348194,0.9442785726048377,0.64,104,46,46,0,94,94,0.6266666666666667,1.0,0.8306039893606972,0.11538461538461539,0.8942307692307693,0.27049180327868855,13.704540758634185,3.808223737266405
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed1059,bottleneck,adaptive_hitl,1059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.3,0.0,0.3,0.8066666666666666,0.628099173553719,1.0,0.8066666666666666,14.965638605908655,33.23589250458934,0.9175899958548447,0.9203214774696187,0.6176213083236183,1.0,1.0,1.0,1.0,0.1910032781523072,0.14342423645366742,0.9796477149213282,0.6395059469916106,121,29,29,0,115,115,0.7666666666666667,1.0,0.8110873337754265,0.049586776859504134,0.9421487603305785,0.3409090909090909,17.12440582396316,6.2478777080146655
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed2059,bottleneck,adaptive_hitl,2059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.18,0.006666666666666667,0.2733333333333333,0.76,0.7631578947368421,1.0,0.76,6.056005314797658,22.183248017908827,0.5294713432279726,0.8285354773043978,0.27717253417560045,0.5147776637977645,1.0,1.0,1.0,0.48476657892059233,0.26086496945139726,0.5887343435880681,0.631843293598175,114,36,36,0,107,107,0.7133333333333334,1.0,0.8191236037223026,0.07894736842105263,0.9210526315789473,0.2109375,6.880898886323247,1.6352477036636848
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed3059,bottleneck,adaptive_hitl,3059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.3333333333333333,0.0,0.14666666666666667,0.7666666666666667,0.5652173913043478,1.0,0.7666666666666667,15.453001070014512,37.676943320751256,0.8231461327522993,0.8590840062461825,0.45347861271363105,0.6659498739395373,1.0,1.0,1.0,0.2661582516998682,0.17501436627938124,0.7905538165416868,0.6351472742165233,115,35,35,0,108,108,0.72,1.0,0.8179755651584631,0.0782608695652174,0.9217391304347826,0.3875968992248062,17.83810821487241,2.4882634368714562
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed4059,bottleneck,adaptive_hitl,4059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.29333333333333333,0.0,0.24,0.7866666666666666,0.6271186440677966,1.0,0.7866666666666666,10.321558008190303,28.23409767402661,0.756817483343184,0.9034728891578713,0.5872868897054613,0.7558749999998766,1.0,1.0,1.0,0.5287802596416147,0.297751652636937,0.9515341142222151,0.6371550442329486,118,32,32,0,112,112,0.7466666666666667,1.0,0.8145314494669449,0.059322033898305086,0.9322033898305084,0.33587786259541985,11.725219227144413,1.5317170704972978
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed5059,bottleneck,adaptive_hitl,5059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.29333333333333333,0.02,0.18,0.7933333333333333,0.6302521008403361,1.0,0.7933333333333333,11.468571895732484,38.1114025111243,0.695183650435259,0.8832951863839533,0.3571436301586469,1.0,1.0,1.0,1.0,0.16226717591230644,0.09778437445775534,0.8810157946214182,0.6303359521773554,119,29,29,0,115,115,0.7666666666666667,0.98,0.8133834109031054,0.04201680672268908,0.9327731092436975,0.32061068702290074,13.158855924385286,5.052191698219229
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed6059,bottleneck,adaptive_hitl,6059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.24,0.02666666666666667,0.8933333333333333,0.7733333333333333,0.6896551724137931,1.0,0.7733333333333333,6.762113760541313,35.98767494463666,0.6513060512952507,0.8769720043478041,0.4285217074156085,0.6756945651916594,1.0,1.0,1.0,0.6831993122615925,0.41351985076728,0.6669201827732596,0.6348081429327146,116,34,34,0,110,109,0.7266666666666667,1.0,0.8168275265946238,0.0603448275862069,0.9224137931034483,0.26717557251908397,7.778374284533825,0.8635621595369508
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed7059,bottleneck,adaptive_hitl,7059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.2866666666666667,0.0,0.02666666666666667,0.7266666666666667,0.6055045871559633,1.0,0.7266666666666667,13.462243483211365,30.26863393652999,0.7417811538713673,0.7960600879933921,0.23065305671479974,0.4470825828883567,1.0,1.0,1.0,0.02633255639450117,0.02276021819323907,0.9644469982278795,0.64,109,10,10,0,107,107,0.7133333333333334,0.78,0.8248637965414999,0.027522935779816515,0.9724770642201835,0.38392857142857145,16.46945160517764,14.995325579955752
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed8059,bottleneck,adaptive_hitl,8059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.3333333333333333,0.0,0.0,0.8333333333333334,0.6,1.0,0.8333333333333334,16.601122300665754,31.080152257146707,0.7758030318655074,0.8712336084680231,0.2459999999999154,1.0,1.0,1.0,1.0,0.04837166200300518,0.022548194251776,0.9695711997674507,0.64,125,25,25,0,120,120,0.8,1.0,0.8064951795200688,0.056,0.952,0.373134328358209,18.48399061129149,6.7106400090646225
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay1_seed9059,bottleneck,adaptive_hitl,9059,0.1,0.4,0.2,5,0.95,1,"{""separation"": 0.45, ""congestion"": 0.25, ""speed"": 0.15, ""uncertainty"": 0.15}",3,0.8,0.5,0.2,0.22,0.006666666666666667,0.9066666666666666,0.8466666666666667,0.7401574803149606,1.0,0.8466666666666667,13.50362038521353,37.22305702916071,0.5219541777235767,0.9440937235082771,0.6768705285267151,1.0,1.0,1.0,1.0,0.5543050916244158,0.3415535424777898,0.7609640838378918,0.64,127,23,23,0,124,124,0.8266666666666667,1.0,0.8041991023923898,0.031496062992125984,0.9448818897637795,0.2318840579710145,15.005927979253396,1.4089980026561677
